"","card","description","type","status","category","sub_category"
"21","OUTLOOK - extended Outlook VBO issue has similar issue to MAPIEX where sometimes it doesnt send mail","ISSUE
extended Outlook VBO issue has similar issue to MAPIEX where sometimes it doesnt send mail or move mail etc.

IMPACT
emails don't get sent or moved etc

ROOT-CAUSE
MAPIEX 

WORKAROUND
Add wait timer between send mail retries (16 seconds)

RESOLUTION
TBC","PROBLEM","Ideas","OUTLOOK","extended Outlook VBO issue has similar issue to MAPIEX where sometimes it doesnt send mail"
"22","ADOBE - All processes that use Adobe - replace Adobe text recognition with new solution to resolve compliance issue","ISSUE
Adobe has license requirements where automated solutions need to use the Server Version of Adobe text recognition instead of the Adobe Desktop Application. Because we use Blue Prism to interact with the Adobe Desktop version we are in breach of this policy. The process needs to be able to handle for the following scenarios:
- localised text recognition for sensitive / scanned documents
- text recognition for True PDFs 
- external text recognition for non sensitive data

IMPACT
Breaching Adobe licensing restrictions

ROOT-CAUSE
Adobe licensing policy

RESOLUTION
Change all processes that use Adobe to use a different text recognition software (e.g. ABBY, Google Text Recognition, Azure, FoxIt Reader)","PROBLEM","Ideas","ADOBE","All processes that use Adobe - replace Adobe text recognition with new solution to resolve compliance issue"
"23","SITS - update SITS termination methods for all processes","ISSUE
termination method used for the SITS application is not closing database connections properly and causing system performance issues. The SITS team have raised with us that a number of zombie database connections have remained open and believe this is because of the way the Bots currently terminate SITS.

IMPACT
Database connections remain open each time the SITS application is launched and terminated using Kill process method - which causing system issues.

ROOT-CAUSE
Bots currently use KILL process method for closing the SITS application

RESOLUTION
What processes are using SITS?
P44 - Payment Report(Queue Loader)
P24 - Credit Application Document Upload
P35 - Email SID Labelling (HDRAC) v2
P5 - SAS - Sydney Student Document Uploader (Queue Processor)
P28 - Reminder to Academics(SAS Admission) - Processor 
P5.2 - SAS - (Processor) Sydney Student Document Uploader
P28 - Reminder to Academics(SAS Admission) - Sydney Student
P44 - Payment Report
P31 - Transcript Application Email Exception Response - Queue Processor
Process -23-Queue Processor - Document Download
P26 - Diet Rule Override
P12 - SAS - Conditional Offer Defferrals
P35 - Email SID Labelling (HDRAC)
P26 - Diet Rule Override (Queue Loader)
P8 - SAS - Email Title Change v2
P28 - Reminder to Academics (SAS Admission) - SITS
P32 - Scholarship Application Detail Check - Queue Processor
P34 - Email SID Labelling(Scholarship)
P36 - Email SID Labelling (Fees)
Reminder to Academics(SAS Admission) - Processor
P15 - Reminder Emails to Academics(Queue Uploader)
P21 -  Removing Sanctions - Queue Processor
P30 - Transcript Application Email Update(Queue Processor)
P24 - SAS - Faculty Services Credit Restructuring (Application Credit Queue Processor)
P15 - Reminder to Academics (Special Permission)
P52 - Processor - Document Uploads Overriding Exceptions

- how can we create an Object Action to ""safely close"" SITS? This needs to include closing the database connection / close application normally.
- implementation plan to implement Object Action to all processes?","PROBLEM","Ideas","SITS","update SITS termination methods for all processes"
"24","OUTLOOK - replace all processes that use MAPIEX with Outlook VBO","ISSUE
MAPIEX is currently an unreliable Outlook technology solution that often fails to perform basic actions (e.g. send mail, move mail). The processes currently using MAPIEX include:
- P6 HR Processor
- P6 HR Allocation Loader
- P13 HazMat Ordering - Receipting v2
- P11 Mobile Phone Cancellations loader
- P11 Mobile Phone Cancellations processor
- P10 Transcript Match Invoice
- P8 Email title Change
- P6 HR Allocation Payroll loader
- P6 HR Allocation Payroll processor
- P14.1 Potential Granduand Input
- P5 Documnent Upload Loader

IMPACT
Mail does not get sent or stuck in incorrect folders etc

ROOT-CAUSE
MAPIEX

RESOLUTION
Replace all processes that use MAPIEX with Outlook VBO","PROBLEM","Ideas","OUTLOOK","replace all processes that use MAPIEX with Outlook VBO"
"25","IE - production environment having issue where imported development processes are unable to use HTML mode","ISSUE
production environment having issue where imported development processes are unable to use HTML mode

IMPACT
Processes terminate when attempting to use IE modes

ROOT-CAUSE
Version of Internet Explorer in prod machine 17 was different from the version in dev. The bot could not spy items on IE when process started.

WORK-AROUND
Restart the machine in order to pick up the latest windows desktop updates.

RESOLUTION","PROBLEM","Ideas","IE","production environment having issue where imported development processes are unable to use HTML mode"
"26","P14.1 - Long Load time due to high amount of checks","ISSUE:
14.1 takes a long time to load due to the bot conducting multiple checks for the same file in the Microsoft teams site

IMPACT: 
14.1 takes a long time to complete

ROOT - CAUSE:
Faculty Master file row count + 10 is the number of times a bot will check for a file.

WORKAROUND:
1.Lead time for P14 deadlines
2. Download and move faculty files manually

RESOLUTION:
TBC","PROBLEM","Ideas","P14","P14.Long Load time due to high amount of checks"
"27","P14.2 - Queue Loader - Process not robust","ISSUE:
P14.2 exception handling causes most of the process to be a point of no return. This was most likely done to protect bot from double processing

IMPACT: 
If P14.2 encounters an error, it will fail out with no retry attempt

ROOT - CAUSE:
Recovery paths from original design are be high risk. Changes to recovery paths reprisents high risk.

WORKAROUND:
Monitor P14.2 while it runs, this process usually does not take more than 10 minutes to run.

RESOLUTION:
TBC","PROBLEM","Ideas","P14","P14.Queue Loader - Process not robust"
"28","P14.1 - Download Input Files V2 - Bot cannot automatically access Dev environment","ISSUE:
Bot currently is only configured to point to the production version of Microsoft Teams. The prod and dev environments are hosted at the same URL, dev and prod are separated via links. The bot is not configured to press the dev link.

IMPACT: 
Performing dev testing requires human intervention.

ROOT - CAUSE:
Prior, undocumented development issues.

WORKAROUND:
Pause bot and navigate to the dev version of microsoft teams before resuming the bot.

RESOLUTION:
Spy dev link and add logic for the bot to click into the dev link","PROBLEM","Ideas","P14","P14.Download Input Files V2 - Bot cannot automatically access Dev environment"
"29","P14 - Queue Processor V2 - Can't process 2 of the same faculty at once","ISSUE:
Bot cannot differentiate between multiple files of the same faculty. For example 3 engi files worth of data will be processed as 1 file. May cause other crashes

IMPACT: 
Association between records and bot results will be lost. All faculty files will be processed as one

ROOT - CAUSE:
Queue tagging doesn't provide visibility of association between record and file, only the faculty the record belongs to. Queue data itself doesn't contain data defining the parent file of a record.

WORKAROUND:
Advise stakeholders to compile all faculty data of the same type into one file. Advise risks of having multiple files of the same faculty present in root folder.
Please see attached for latest communications around this.

RESOLUTION:
Modify queue data structure or tagging system to define association between a record and its parent file.","PROBLEM","Ideas","P14","Queue Processor V2 - Can't process 2 of the same faculty at once"
"30","VNC - global send keys can sometimes have issues when VNC Viewer is open on Windows Desktops","**ISSUE**
global send keys can sometimes have issues when VNC Viewer is open on Windows Desktops

**IMPACT**
- P23 process sometimes saves PDF documents on the Windows machine that has VM62 open using VNC Viewer

**ROOT-CAUSE**
TBC - Global Send Keys and VNC Viewer settings 

**WORK-AROUND**
close VNC Viewer from Windows machine

**RESOLUTION**
Disable Global Send Keys function - however we wont do this because the Copy and Paste send keys between VNC Viewer and Windows machines is too useful

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Ideas","VNC","global send keys can sometimes have issues when VNC Viewer is open on Windows Desktops"
"31","P6 - process is still using custom built API object","**ISSUE**
P6 is using custom build Web services object since the process is built pre v6.5

**IMPACT**
harder to maintain the process when issue occurs

**ROOT-CAUSE**
v6.4 blueprism does not support web services

**WORK-AROUND**
maintain process under its current condition

**RESOLUTION**
rebuild P6 with BluePrism built-in web service support

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Ideas","P6","process is still using custom built API object"
"32","SITS - object causes repeating system exceptions","ISSUE
The SITS object causes repeating system exceptions for all processes that use it. This problem effects the following processes:
- P5
- P8
- P24
- P34
- P35
- P36

IMPACT
When these system exceptions occur cases dont get processed that should have otherwise of been processed.

WORKAROUND
Adjust wait timers and monitor when terminations occur

ROOT-CAUSE
SITS is an old application that's slow to work with using GUI integration

RESOLUTION
Use SITS API's to improve where issues occur","PROBLEM","Ideas","SITS","object causes repeating system exceptions"
"33","P14 - Robust File movement","ISSUE:
Exception handling may fail to move files out of areas that are used by the queue loader/processor

IMPACT:
Double loading in the next run

ROOT - CAUSE:
Non robust exception handling

WORKAROUND:
Ensure the following folders are empty before and after each run:
Microsoft Teams: ""In Progress"" folder
Production Shared Drive: ""Input Files Loaded into Queue""
Production Shared Drive: ""Input Files Downloaded from Microsoft Team""


RESOLUTION:
Review exception handling to ensure all files are cleared upon a termination. Review block layouts also to ensure all stages have an appropriate recovery stage.","PROBLEM","Ideas","P14","Robust File movement"
"34","P14 - process failed when attempting to move files around in microsoft teams","**ISSUE**
process failed when attempting to move files around in Microsoft teams

**IMPACT**
process terminates unexpectedly

**ROOT-CAUSE**
TBC - Microsoft teams

**WORK-AROUND**
NA

**RESOLUTION**
TBC - perhaps find a replacement for microsft teams

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Ideas","P14","process failed when attempting to move files around in microsoft teams"
"35","P14 - Robust File movement by syncing to SharePoint","**ISSUE**
The process downloads files from Microsoft teams, and moves and uploads files in Microsoft Teams at different stages. The interactions with Teams is not robust and very time consuming.

**IMPACT**
process terminates unexpectedly, updates in Teams might/will result in process Failure in the future, the process is not time efficient as it needs to read every row in teams to find the desired file.

**ROOT-CAUSE**
Interactions with - Microsoft teams

**WORK-AROUND**
Syncing SharePoint with OneDrive

**RESOLUTION**
Syncing SharePoint with OneDrive

Notes for Developer:
All the file downloads and movements in process 14.1, 14.2, 14.3 needs to be updated.
Sync:
Input Files Downloaded from Microsoft Team in OneDrive >> General Folder in Teams
Input Files Loaded into Queue >> In Progress Folder in Teams
Input Files Archive >> Complete Folder in Teams
Faculty Master>> Faculty Master

","PROBLEM","Ideas","P14","Robust File movement by syncing to SharePoint"
"36","P14 - Enabling Concurrent Runs","**ISSUE**
The number of items that need to be processed in peak period are more than the capacity of one Bot. 

**IMPACT**
The items cannot be processed by deadline.

**ROOT-CAUSE**
The requested volume is high.

**WORK-AROUND**
Currently we are using two separate queues for concurrent running. 

**RESOLUTION**
The process to be modified to use unique tags for each list, so it can only grab the processed items with the unique tags for generating reports.

Notes for Developer:
Both 14.2 and 14.3 need to be updated. The unique tag can be retrieved from file name but should be removed when the process is complete and the file is moved to complete folder.

","PROBLEM","Ideas","P14","Enabling Concurrent Runs"
"37","PROCESS - UPDATE TEMPLATES","**AS A**
Operational Engineer

**I WANT**
update the process templates

**SO THAT**
the process templates are aligned with general improvements","PROJECT","Backlog","PROCESS","UPDATE TEMPLATES"
"38","PROCESS - SPLIT P8 BOT UP","**AS A**
Operational Engineer

**I WANT**
enhance the existing P8 Bot so that each Outlook Profile is its own Bot and also the new Bots follow AI Hub standards

**SO THAT**
Each Outlook Profile can be counted as another Bot and also the new processes / Bots follow the AI Hub standards","PROJECT","Backlog","PROCESS","SPLIT P8 BOT UP"
"39","PROCESS - P109 Rebuild","**AS A**
Automation Process Developer

**I WANT**
To be rebuild:
- Use the process template
- Separate Queue Loader and Queue Processor
- Add Mark Item as Complete and Mark Item as Exception
- Rebuild Page 4.1
- Change the logic of exception handling

**SO THAT**
process is easier to maintain and understand","PROJECT","Backlog","PROCESS","P109 Rebuild"
"40","MONITOR - MXX UPDATE TRELLO SCHEDULE","**AS A**
Operational Engineer

**I WANT**
have an automated solution for updating the Trello card that holds the Schedule View

**SO THAT**
The schedule view in Trello is up to date","PROJECT","Backlog","MONITOR","MXX UPDATE TRELLO SCHEDULE"
"41","MONITOR - VISUALISE & TRACK CLOUD SPEND","**AS A**
Director of Automation (JP) / Head of AI Hub (Steve)

**I WANT**
To have a view on the spend that is being accrued on the cloud platforms that we are using (e.g. Azure, GCP)

**SO THAT**
we are able to keep track of AI Hub spend","PROJECT","Backlog","MONITOR","VISUALISE & TRACK CLOUD SPEND"
"42","MONITOR - MXX PROCESS PERFORMANCE REPORTS","**AS A**
Operational Engineer

**I WANT**
Create a monitoring tool that can automatically update each process card on  the Process Automation Board with a Process Performance Reports (example attached).

**SO THAT**
The performance of each process can be easily accessible and viewed from Trello

**ACCEPTANCE CRITERIA**
- cards are updated daily
- work queues reports can be optionally disabled
- mapping is between work queue and process card codes","PROJECT","Backlog","MONITOR","MXX PROCESS PERFORMANCE REPORTS"
"43","MONITOR - MIGRATE M03 TO SLACK","**AS A**
Operational Engineer

**I WANT**
migrate the M03 monitoring tool to slack

**SO THAT**
the trigger is out of the database and the solution also aligns with other Monitoring tool design","PROJECT","Backlog","MONITOR","MIGRATE M03 TO SLACK"
"44","INFRA - SETUP LOGICAL ACCESS MANAGEMENT IN PROD","**AS A**
Operational Engineer

**I WANT**
setup logical access management model for Production Environment

**SO THAT**
Appropriate controls are in place for user access and https://trello.com/c/aJyxNvUe/143-infra-action-recommendations-noted-from-blue-prism-technical-architecture-review","PROJECT","Backlog","INFRA","SETUP LOGICAL ACCESS MANAGEMENT IN PROD"
"45","OPMODEL - SLA REPORTING","TASKS:
- map out high level SLA's for P1 - P4 incidents
- map out high level SLA for process availability
- map out standard-request specific SLA's and non-standard request SLA's
- map out customer specific SLA's (e.g. P10 create invoice run before 1pm each day)
- create mechanism to track performance of all SLA's

NOTES:
- avoid the 'watermelon SLA effect'
- keep SLA's simple and understandable
- customer specific SLA's should be regularly reviewed and updated","PROJECT","Backlog","OPMODEL","SLA REPORTING"
"46","REPORT - Enhance the Utilisation Dashboard","**AS A**
Operational Engineer

**I WANT**
Investigate and deploy potential enhancements for the utilisation dashboard

**SO THAT**
The utilisation is more accurately represented and workflow tracking can be monitored","PROJECT","Backlog","REPORT","Enhance the Utilisation Dashboard"
"47","INFRA - CLEAN UP CORDS","AS A 
Jonathan Parsons AI Hub Director

I WANT
The cords in the AI Hub to be cleaned up

SO THAT
The employees in the AI Hub can operate in a clean working environment","PROJECT","Backlog","INFRA","CLEAN UP CORDS"
"48","MONITOR - MXX PROCESS LOG VOLUMES","AS A
Operational Engineer

I WANT
To monitor the session logging volumes for each process that runs in Production and create a Trello Ticket for that process

SO THAT
We can be notified of processes that are logging high volumes of stages to the database which will slow down the entire production environment and may cause some processes to terminate

ACCEPTANCE CRITERIA
1. each day check if logs are over 30000
2. IF True, THEN send warning notification
- future enhancement might be to also create and incident, however not yet necessary ","PROJECT","Backlog","MONITOR","MXX PROCESS LOG VOLUMES"
"49","OPMODEL - SETUP ON-CALL SUPPORT MODEL","AS A:
(1) Business User / (2) Developer / Controller

I WANT:
(1) my process to have on-call support for high priority issues / (2) be compensated for on-call support (e.g. if process goes down log on to resolve)

SO THAT:
(1) process can be supported outside of business hours / (2) Developers / Controllers get compensated for additional hours and time waiting","PROJECT","Backlog","OPMODEL","SETUP ON-CALL SUPPORT MODEL"
"50","AUTOMATE - INXX PROCESS RESCHEDULING","Functions needed include:
- make decision on which processes to start when idle capacity allows it","PROJECT","Backlog","AUTOMATE","INXX PROCESS RESCHEDULING"
"51","AUTOMATE - INXX SEND WEEKLY BUSINESS REPORTS","**AS A**
Operational Engineer

**I WANT**

**SO THAT**
","PROJECT","Backlog","AUTOMATE","INXX SEND WEEKLY BUSINESS REPORTS"
"52","INFRA - SETUP CMDB WITH ICT","AS A
Technical Architect / Operational Team Lead

I WANT
work with ICT to setup all processes under the CMDB

SO THAT
The AI Hub receives notifications about ICT changes that effect the processes they support","PROJECT","Backlog","INFRA","SETUP CMDB WITH ICT"
"53","INFRA - PENETRATION TESTING","**AS A**
Operational Engineer

**I WANT**
prepare for penetration testing in Blue Prism Environment

**SO THAT**
We are ready to be investigated for any penetration testing and our environment is optimised for security","PROJECT","Backlog","INFRA","PENETRATION TESTING"
"54","INFRA - TRANSPORT ENCRYPTION CONNECTION","AS A
Operational Engineer

I WANT
The production environment to use the ""WCF: SOAP with Transport Encryption & Windows Authentication"" connection mode instead of the ""WCF: SOAP with Message Encryption & Windows Authentication"" connection mode

SO THAT
The production environment can perform faster because data between resources uses private and public key encryption on each end instead of having to encrypt each message packet between resources","PROJECT","Backlog","INFRA","TRANSPORT ENCRYPTION CONNECTION"
"55","MONITOR - MXX IMPORT NOTIFICATIONS","**AS A**
Operational Engineer

**I WANT**
monitor database to receive notifications whenever processes, objects or releases are imported into the Production Environment

**SO THAT**
so that I am informed of changes","PROJECT","Backlog","MONITOR","MXX IMPORT NOTIFICATIONS"
"56","MONITOR - MXX PROD CODE CHANGES","**AS A**
Operational Engineer

**I WANT**
receive a notification whenever someone makes a code change in Production Environment

**SO THAT**
I am informed of changes","PROJECT","Backlog","MONITOR","MXX PROD CODE CHANGES"
"57","OPMODEL - SETUP FEEDBACK MECHANISM","SOLUTION:
Option 1 - google form and sheets to collect information
Option 2 - microsoft flow and excel to collect information","PROJECT","Backlog","OPMODEL","SETUP FEEDBACK MECHANISM"
"58","INFRA - REVIEW DB GROWTH RATE","**AS A**
Operational Engineer

**I WANT**
Monitor PROD Database growth rate to find out the optimal auto-growth setting

**SO THAT**
The database settings can be updated to include auto-growth rate without degradation to performance (currently disabled)","PROJECT","Backlog","INFRA","REVIEW DB GROWTH RATE"
"59","PROCESS - P12 UPDATE LIST ENHANCEMENT","**ISSUE**
Business will send updated deferral list to the run team from time to time (twice a month on average)

**IMPACT**
no impact

**ROOT-CAUSE**
business does not have access to the AI Hub share folder

**WORK-AROUND**
update the deferral list manually by the email send from the business
(1) navigate to ""\\rpaspa00002.shared.sydney.edu.au\AIHub\P12 - Conditional Offer Deferrals\Approved Lists\""
(2) open file ""Approval Deferral Codes.xlsx""
(3) copy row data from updated list emailed from business and paste it into the ""Approved MAS Course Codes"" sheet in the ""Approval Deferral Codes.xlsx"" file (dont replace the column names

**RESOLUTION**
1. use google sheet for storing the deferral list
2. grant the business AI Hub share folder access for P12

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROJECT","Backlog","PROCESS","P12 UPDATE LIST ENHANCEMENT"
"60","TRAIN - COMPLETE ITIL V4 FOUNDATIONS EXAM","**AS A**
Operational Engineer

**I WANT**
complete ITIL v4 foundations training

**SO THAT**
I understand the foundations of service management","PROJECT","Backlog","TRAIN","COMPLETE ITIL V4 FOUNDATIONS EXAM"
"61","TRAIN - COMPLETE BP TECHNICAL ARCHITECTURE EXAM","**AS A**
Operational Engineer

**I WANT**
complete BP Technical Architect training

**SO THAT**
the Blue Prism infrastructure can be managed robustly","PROJECT","Backlog","TRAIN","COMPLETE BP TECHNICAL ARCHITECTURE EXAM"
"62","TRAIN - COMPLETE UIPATH INFRASTRUCTURE TRAINING","**AS A**
Operational Engineer

**I WANT**
complete UiPath infrastructure training

**SO THAT**
the UiPath infrastructure can be supported robustly","PROJECT","Backlog","TRAIN","COMPLETE UIPATH INFRASTRUCTURE TRAINING"
"63","TRAIN - COMPLETE UIPATH DEVELOPER EXAM","**AS A**
Operational Engineer

**I WANT**
complete UiPath Developer exam

**SO THAT**
processes can be supported in production and enhanced","PROJECT","Backlog","TRAIN","COMPLETE UIPATH DEVELOPER EXAM"
"64","INFRA - IMPROVE AUTHENTICATION SECURITY","**AS A**
Operational Engineer

**I WANT**
Improve security of users connecting to Prod Environments by actioning the following:

• Only Platform Admins should have access to the Application Server(s)
• Only the specified IC User(s) and the Platform Admin should have access to the Interactive Client
• Best practice is that each resource should have its own login account.
• As highlighted in the runtime resource section, Ensure Runtime resources are required to authenticate with the application server. The option should be unticked within system security settings to allow anonymous resources. It is also good practice to disallow registration of any new resources unless specifically adding resources at that time.

**SO THAT**
https://trello.com/c/aJyxNvUe/143-infra-review-rom-recommendations","PROJECT","Backlog","INFRA","IMPROVE AUTHENTICATION SECURITY"
"65","P54.1 - Send Suspension Notification (Download Report) - process keeps terminating when attempting to check for text ""Enrolment Status""","**ISSUE**
process keeps terminating when attempting to check for text ""Enrolment Status""

**IMPACT**
TBC

**ROOT-CAUSE**
TBC

**WORK-AROUND**
TBC

**RESOLUTION**
TBC

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Backlog","P54","P54.Send Suspension Notification (Download Report) - process keeps terminating when attempting to check for text ""Enrolment Status"""
"66","IE - internet explorer throws a pop-up which prevents processes from interacting with web applications","**ISSUE**
internet explorer throws a pop-up which prevents processes from interacting with web applications

**IMPACT**

**ROOT-CAUSE**

**WORK-AROUND**

**RESOLUTION**

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Backlog","IE","internet explorer throws a pop-up which prevents processes from interacting with web applications"
"67","BLUEPRISM - UI Automation mode will throws error message: there is an error spying element on some VMs","**ISSUE**
UI Automation mode will throws error message: there is an error spying element on some VMs

**IMPACT**

**ROOT-CAUSE**

**WORK-AROUND**

**RESOLUTION**

**LESSONS**
GOOD:
IMPROVEMENT:
LUCKY:","PROBLEM","Backlog","BLUEPRISM","UI Automation mode will throws error message: there is an error spying element on some VMs"
"68","PROCESS - P72 Rebuild","**AS A**
Process Automation Developer

**I WANT**
To be rebuild:
- Use the process template
- Add Mark Item as Complete and Mark Item as Exception to both Queue Loader and Queue Processor
- Rebuild Page 3, 3.1, 3.2, 3.2.1, 3.2.2, 3.2.3 to have a clearer logic
- Rebuild Page 6 to avoid N^3 time to find the match attendees
- Redo QA self-checklist

**SO THAT**
process is easier to maintain and follows appropariate quality standards","PROJECT","Blocked","PROCESS","P72 Rebuild"
"69","INFRA - SETUP H20 APP SERVER","**AS A**
Operational Engineer

**I WANT**
setup Prod Application Server for H2O platform

**SO THAT**
processes that need to work in Prod can be supported accordingly","PROJECT","Blocked","INFRA","SETUP H20 APP SERVER"
"70","INFRA - AZURE MIGRATION","**AS A**
Operational Engineer / ICT Hosting Team

**I WANT**
migrate from on-prem Database and Application Servers to Azure cloud infrastructure and setup Database with a dedicated SQL Server Instance

**SO THAT**
- Load balancing can be enabled for Application Servers
- Database can be moved to separate SQL Server Instance
- We are able to operate because the ICT Hosting team will no longer be supporting on-prem VM solutions in the near future","PROJECT","Blocked","INFRA","AZURE MIGRATION"
"71","INFRA - SETUP LOAD BALANCING","**AS A**
Operational Engineer

**I WANT**
setup automated load balancing for BluePrism Application Servers

**SO THAT**
https://trello.com/c/aJyxNvUe/143-infra-review-rom-recommendations","PROJECT","Blocked","INFRA","SETUP LOAD BALANCING"
